unit,violation_magnitude
20,3508.4569551685763
25,2781.272815070486
24,2537.0217116505037
84,2321.747968221185
93,1724.3649850562786
90,1283.155345834212
19,1267.7638205815765
28,1222.2140210671457
36,1179.1787573172353
74,1120.1250002877937
83,1065.8562850857245
8,869.42630806497
86,781.1831327328331
75,719.7911648445069
79,673.4732084085559
13,664.4623934966698
77,653.0817426422004
54,625.1463102198234
33,604.2764379675556
16,597.2974819994413
30,583.0144556186307
46,580.781423732115
78,578.4574140989769
45,567.4111781046655
89,511.9792492834372
98,498.25472259517136
92,447.4642295079494
56,441.57780680770855
85,434.43215903998794
65,399.4920467046968
94,398.0979758227476
17,360.8980192638981
29,347.2019113327729
15,320.3204627148253
58,293.3371939494149
61,276.7603161324083
22,271.9395931035981
31,268.6210943649399
23,263.79407520218143
57,253.06177428743405
44,234.88540290215172
59,227.00366374336585
2,223.55186567851632
72,218.4757113549662
70,214.55450795183475
69,204.6068589303287
66,196.90872106982675
27,195.23823582498613
42,192.1417561924589
10,169.08017300372538
11,160.2246596442873
81,146.97456726220298
87,142.314234089281
99,140.90133385679312
67,127.49286627024317
3,120.41410409325985
5,112.56561171251889
96,103.31589477047923
35,103.04250865003029
76,92.7220459827313
73,70.47778483618937
49,66.19807883015446
47,65.61818352329519
7,64.97609772458418
32,56.54265386372311
39,53.0167451997176
41,51.52571273813874
43,50.59856836918431
62,48.67096780517425
1,48.54438992994042
18,41.276928859673596
64,35.359461415236616
37,34.95486774559988
21,25.626350254678904
100,22.729859127945268
38,20.515564556680417
34,20.12539538772686
48,18.18420470328781
97,17.816083091622172
40,13.365643395948595
68,11.759468279792108
52,11.131129468915974
26,10.671936084090053
50,9.109509145059365
95,7.54879800817748
14,7.138323877646175
82,6.749509093251731
88,6.672503462095539
60,6.4280925650911325
6,6.012694264730667
63,5.276315971112548
4,5.013393616700443
80,4.99690082692907
53,4.134337241861753
12,3.845543417627908
9,3.673371755645002
55,3.036385036795567
71,2.9040249697033067
91,2.4150639022690368
