unit,cycle,actual_rul,pred_rul,lower_ci,upper_ci,violation_magnitude,outside_ci
65,112,41,136.62661024516845,42.292500000000004,218.59583333333308,95.62661024516845,True
93,112,43,129.46825712701627,46.2375,215.90440278988663,86.46825712701627,True
93,99,56,138.6164721905625,77.4394071146245,230.35468749999987,82.61647219056249,True
69,149,213,136.17139668779532,65.88141666666667,209.1449519230769,76.82860331220468,True
92,105,236,159.35327348927564,86.3496566037736,227.65681818181815,76.64672651072436,True
86,117,161,85.09759700145335,57.883863636363635,117.18636363636354,75.90240299854665,True
56,129,146,70.46654186461336,46.12588235294118,123.28749999999997,75.53345813538664,True
65,94,59,134.1176914398282,59.70625,223.0940789473684,75.1176914398282,True
56,105,170,95.92795913296573,61.57,169.105,74.07204086703427,True
5,76,193,119.63766825114952,83.0125,192.9761179956896,73.36233174885048,True
94,105,153,79.9414115960524,39.246875,147.61124999999987,73.0585884039476,True
84,111,156,84.98703508845055,46.864962121212116,128.76801470588228,71.01296491154945,True
84,103,164,93.1844787716386,65.93474358974359,155.01666666666665,70.8155212283614,True
84,102,165,94.63760809147321,59.36627282997553,155.64001610305957,70.36239190852679,True
93,89,66,135.7492363648116,68.02157608695651,258.76624999999996,69.7492363648116,True
84,98,169,103.25909008201798,57.661401098901095,167.46785714285707,65.74090991798202,True
93,97,58,123.16212124963238,59.37,201.17356565656561,65.16212124963238,True
84,101,166,101.67838571891467,66.96684833024119,163.15714285714282,64.32161428108533,True
84,130,137,73.06347377178388,41.75843961478397,110.00973837209301,63.936526228216124,True
93,100,55,118.45860794471768,61.60560606060606,207.006891025641,63.458607944717684,True
84,106,161,98.34212764164799,63.17766086115143,147.84236111111105,62.65787235835201,True
84,114,153,90.44151648253802,67.2792897292788,121.20567307692306,62.55848351746198,True
84,113,154,91.49050487971496,62.43801282051282,139.78333333333327,62.50949512028504,True
84,104,163,100.66403912528303,65.9804595959596,160.49999999999994,62.335960874716974,True
84,100,167,105.06050708288454,64.13031255955785,149.07418478260868,61.93949291711546,True
94,122,136,74.27839121606226,41.35277777777778,123.60480769230765,61.72160878393774,True
92,103,238,176.5270450191512,91.79834500251552,235.0353947368421,61.47295498084881,True
84,116,151,90.85116834137693,53.46942372881356,149.43611111111107,60.14883165862307,True
86,119,159,98.96994447084059,73.49791858537485,137.70955265610436,60.03005552915941,True
84,135,132,72.43490390044539,48.58847222222222,112.05874999999988,59.56509609955461,True
93,108,47,106.38561555800014,47.147619047619045,210.36646324354655,59.38561555800014,True
92,111,230,170.63554552793366,97.99300736497545,226.39205263157896,59.36445447206634,True
2,1,286,226.65898659442576,164.73824595055413,281.15,59.341013405574245,True
86,121,157,97.84664221066802,68.39875521880316,137.47704146393062,59.15335778933198,True
84,115,152,92.98605316098384,66.342215047726,132.4296195652174,59.01394683901616,True
