<<<<<<< HEAD
unit,actual_rul,pred_rul,abs_error
69,292,157.55644883057184,134.44355116942816
93,77,209.7149268718069,132.7149268718069
93,139,259.17795522148043,120.17795522148043
92,253,139.6557685225452,113.3442314774548
92,258,145.87294455521578,112.12705544478422
93,102,208.1182651215728,106.11826512157279
93,43,141.47626814100556,98.47626814100556
93,55,151.99647293109615,96.99647293109615
69,277,182.1182410166992,94.88175898330081
69,273,179.80790187900575,93.19209812099425
92,257,164.96215545575737,92.03784454424263
93,130,217.28851928340336,87.28851928340336
93,89,170.36289479545212,81.36289479545212
92,292,210.91251346525058,81.08748653474942
92,249,168.42237828376173,80.57762171623827
84,151,73.12719772938014,77.87280227061986
93,63,140.18449938219678,77.18449938219678
65,53,128.8870056322697,75.8870056322697
65,56,131.11487308568914,75.11487308568914
67,234,159.23846816086606,74.76153183913394
84,169,94.57598430473358,74.42401569526642
92,245,171.65736484339712,73.34263515660288
86,201,127.89460288149125,73.10539711850875
93,50,123.04998478701229,73.04998478701229
3,73,145.8516490158947,72.85164901589471
69,260,187.30633783027798,72.69366216972202
86,180,108.15567721822063,71.84432278177937
65,33,104.00352645523552,71.00352645523552
69,304,234.01012979538325,69.98987020461675
84,148,78.55464319325029,69.44535680674971
56,179,109.58344247301956,69.41655752698044
84,166,96.6295013245623,69.3704986754377
86,204,134.9503852017123,69.0496147982877
84,175,105.97509147023791,69.02490852976209
67,206,138.035888631142,67.964111368858
93,154,220.53438489955965,66.53438489955965
92,208,141.87702924769704,66.12297075230296
64,172,106.46132901862464,65.53867098137536
84,170,104.5161441791261,65.4838558208739
65,52,116.85142352481616,64.85142352481616
86,212,150.19606620627363,61.80393379372637
84,154,93.15765903488563,60.842340965114374
7,166,105.31645011560845,60.68354988439155
94,134,73.43459069955153,60.565409300448465
16,104,43.49356606272944,60.50643393727056
90,31,91.24413665867006,60.24413665867006
85,49,109.20753524543352,60.20753524543352
17,155,94.81274223598116,60.18725776401884
86,219,158.8184976211242,60.18150237887579
90,33,92.43098555980329,59.43098555980329
17,170,110.75790969365633,59.24209030634367
7,160,101.0179069104839,58.9820930895161
93,86,144.7977914302776,58.79779143027761
58,124,182.60447440158606,58.60447440158606
93,100,158.57788357390746,58.57788357390746
2,260,201.47870747802352,58.52129252197648
86,194,135.86654069967022,58.133459300329775
67,241,183.0956157289537,57.9043842710463
90,67,124.66369736193309,57.66369736193309
93,64,121.63688880674995,57.63688880674995
17,186,128.837562980477,57.162437019523
56,137,79.94544809004285,57.054551909957155
65,40,96.40134573091949,56.40134573091949
86,159,102.74052630567901,56.25947369432099
65,31,86.54720243358226,55.54720243358226
86,215,159.55396552632996,55.44603447367004
84,190,134.81023260545598,55.18976739454402
84,210,154.87335355211235,55.12664644788765
86,213,158.33878618726118,54.66121381273882
17,270,215.34349198468814,54.65650801531186
84,183,128.56082495492188,54.439175045078116
86,214,159.6054451330496,54.394554866950386
92,210,155.6117294882086,54.388270511791404
67,308,254.30894436073464,53.69105563926536
90,45,98.47202111401432,53.472021114014325
65,48,101.25301419682789,53.25301419682789
92,290,236.8578602353491,53.14213976465089
57,51,103.97745062323206,52.97745062323206
90,41,93.91295527970165,52.91295527970165
90,43,95.91026119066089,52.91026119066089
46,162,109.17485245496638,52.825147545033616
20,233,180.23105848825327,52.76894151174673
93,35,87.64675963846123,52.64675963846123
90,52,104.11665693937532,52.11665693937532
69,231,179.01112097025415,51.988879029745846
92,230,178.0152154639001,51.98478453609991
94,144,92.12846745633753,51.87153254366247
94,126,74.18691429873807,51.813085701261926
65,24,75.7925324968101,51.7925324968101
65,44,95.78947116321308,51.78947116321308
67,218,166.27278223988168,51.72721776011832
2,270,218.49654727257294,51.50345272742706
94,149,97.56387713575651,51.43612286424349
98,27,78.42407846301488,51.42407846301488
83,191,139.681896790524,51.31810320947599
96,92,143.07378404655918,51.07378404655918
86,230,179.21604310475766,50.78395689524234
20,136,85.22344826853723,50.776551731462774
61,34,84.34834281175247,50.348342811752474
70,74,124.33065559042086,50.33065559042086
20,154,103.83913155290902,50.16086844709098
1,88,137.92680630169187,49.92680630169187
20,135,85.16817474623366,49.83182525376634
86,151,101.26059989468877,49.73940010531123
7,135,85.36800012858066,49.63199987141934
20,133,83.55663981048022,49.44336018951978
84,140,90.5630514677937,49.4369485322063
84,209,160.1862412727741,48.81375872722589
46,158,109.18982571340852,48.810174286591476
86,149,100.3037843485732,48.6962156514268
20,146,97.35506066674118,48.64493933325882
92,176,127.4137546531826,48.58624534681741
56,152,103.58525211771662,48.41474788228338
3,154,202.36989265429173,48.36989265429173
67,204,155.63437332210455,48.36562667789545
20,122,73.65626308264969,48.34373691735031
64,208,159.74019842107288,48.259801578927124
84,127,78.75196554769795,48.24803445230205
20,203,154.84078693416072,48.15921306583928
20,121,72.85382928126187,48.146170718738134
89,54,102.07100805687502,48.071008056875016
7,121,73.13549203855425,47.86450796144575
95,194,146.39574862240642,47.604251377593584
86,171,123.4076730977409,47.5923269022591
57,68,115.56263368268252,47.56263368268252
79,43,90.55352404892173,47.55352404892173
20,124,76.47916617403374,47.520833825966264
20,139,91.60867234240831,47.39132765759169
25,229,181.86470440255547,47.135295597444525
91,54,101.10312341563092,47.10312341563092
84,177,129.9068327212096,47.09316727879039
84,135,87.90717025009977,47.09282974990023
83,263,215.91724756998488,47.08275243001512
39,48,94.98055916199434,46.980559161994336
25,131,84.0997680680307,46.9002319319693
90,59,105.80566019918567,46.80566019918567
25,137,90.37829729627023,46.62170270372977
93,99,145.60450193427533,46.60450193427533
25,225,178.86252853561885,46.13747146438115
20,226,179.8693736487233,46.1306263512767
77,87,133.10084776285655,46.100847762856546
24,105,151.09006364098903,46.09006364098903
5,152,105.97773791119837,46.022262088801625
83,243,196.9786596925054,46.0213403074946
25,215,169.18538726064128,45.81461273935872
74,54,99.81169749469318,45.81169749469318
83,84,129.79984096423445,45.79984096423445
94,121,75.20438848685608,45.795611513143925
90,40,85.74412065349354,45.74412065349354
93,40,85.67947284676146,45.679472846761456
20,143,97.47080783728684,45.52919216271316
20,202,156.6125228678695,45.3874771321305
98,28,73.30010417234989,45.30010417234989
17,175,129.70334169165642,45.29665830834358
83,232,186.7097848752857,45.29021512471431
83,239,193.8784891846831,45.121510815316896
11,218,172.9499021730205,45.05009782697951
20,209,164.04015622793898,44.95984377206102
92,218,173.06206759342265,44.937932406577346
83,50,94.9342789983821,44.9342789983821
69,236,191.08700703035572,44.91299296964428
94,146,101.12204667741491,44.877953322585086
83,70,114.87356301537069,44.87356301537069
20,157,112.12883000309643,44.871169996903575
24,58,102.83580292758019,44.83580292758019
39,85,129.67749573667325,44.67749573667325
46,150,105.59330613134287,44.40669386865713
25,132,87.70563288663283,44.29436711336717
20,164,119.76868475157576,44.23131524842424
20,160,115.80233929963877,44.197660700361226
67,294,249.8212258548836,44.17877414511639
20,152,107.8775807126642,44.1224192873358
16,97,52.92886043996254,44.07113956003746
20,118,73.96839738338963,44.03160261661037
54,237,193.0270583315362,43.97294166846379
20,196,152.220926645565,43.77907335443501
83,196,152.23494748594123,43.765052514058766
20,219,175.30360466708387,43.696395332916126
99,34,77.45151398396243,43.45151398396243
90,55,98.43804302548882,43.438043025488824
93,93,136.2981346830353,43.2981346830353
84,99,55.7566024584824,43.2433975415176
77,94,137.2199422809773,43.21994228097731
39,83,126.19718886962464,43.19718886962464
67,212,168.85845829697092,43.14154170302908
25,126,82.94834195338497,43.05165804661503
90,74,117.02413731083897,43.02413731083897
58,100,142.9963682535947,42.99636825359471
64,206,163.04046065428358,42.95953934571642
74,29,71.9407232164222,42.9407232164222
64,211,168.10418884550208,42.89581115449792
85,70,112.87713174740463,42.87713174740463
84,212,169.14723171598564,42.85276828401436
56,108,65.19116875595772,42.80883124404228
20,220,177.2700115184465,42.729988481553505
16,100,57.289474569707465,42.710525430292535
86,197,154.32192701189632,42.67807298810368
20,188,145.3278120577677,42.67218794223231
17,184,141.35166440454384,42.64833559545616
77,109,151.54471940795852,42.544719407958524
98,33,75.47487988713473,42.47487988713473
70,70,112.38373546287482,42.383735462874824
25,136,93.65379581442924,42.346204185570755
85,148,190.32507883699358,42.32507883699358
74,44,86.28826290440973,42.288262904409734
24,60,102.1623281848163,42.1623281848163
90,94,136.1334174891828,42.13341748918279
=======
unit,actual_rul,pred_rul,abs_error
69,292,157.55644883057184,134.44355116942816
93,77,209.7149268718069,132.7149268718069
93,139,259.1779552214804,120.17795522148037
92,253,139.65576852254523,113.34423147745477
92,258,145.87294455521578,112.12705544478422
93,102,208.1182651215728,106.11826512157279
93,43,141.47626814100556,98.47626814100556
